,지역,상호,주소,상표,전화번호,셀프여부,휘발유,경유,구
0,서울특별시,주)지유에너지직영 오렌지주유소,서울특별시 강동구  성안로 102 (성내동),SK에너지,02-484-6165,N,1555.0,1357.0,강동구
1,서울특별시,GS칼텍스㈜직영 신월주유소,서울 강동구 양재대로 1323 (성내동),GS칼텍스,02-475-2600,N,1555.0,1355.0,강동구
2,서울특별시,구천면주유소,서울 강동구 구천면로 357 (암사동),현대오일뱅크,02-441-0536,N,1556.0,1365.0,강동구
3,서울특별시,광성주유소,서울 강동구 올림픽로 673 (천호동),S-OIL,02-470-5133,N,1588.0,1388.0,강동구
4,서울특별시,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),S-OIL,02-484-1162,Y,1588.0,1388.0,강동구
5,서울특별시,방아다리주유소,서울 강동구 동남로 811 (명일동),SK에너지,02-442-5145,Y,1588.0,1398.0,강동구
6,서울특별시,알이디씨(주)천동주유소,서울특별시 강동구  천호대로 987 (천호동),현대오일뱅크,02-473-1556,N,1589.0,1389.0,강동구
7,서울특별시,(주)소모에너지엔테크놀러지성내주유소,서울 강동구 올림픽로 578 (성내동),GS칼텍스,02-479-3838,Y,1598.0,1398.0,강동구
8,서울특별시,sk해뜨는주유소,서울특별시 강동구  상일로 132 (강일동),SK에너지,02-442-7801,Y,1598.0,1418.0,강동구
9,서울특별시,대성석유(주)직영길동주유소,서울 강동구 천호대로 1168 (둔촌동),GS칼텍스,02-474-7222,N,1598.0,1398.0,강동구
10,서울특별시,고속셀프주유소,서울특별시 강동구  천호대로 1246 (둔촌동),SK에너지,02-487-2030,Y,1598.0,1398.0,강동구
11,서울특별시,SK네트웍스㈜암사주유소(self),서울 강동구 올림픽로 749 (암사동),SK에너지,02-3427-2043,Y,1618.0,1418.0,강동구
12,서울특별시,SK네트윅스(주)길동주유소,서울 강동구 천호대로 1221 (길동),SK에너지,02-488-3491,Y,1648.0,1448.0,강동구
13,서울특별시,SK네트윅스(주)한미주유소,서울 강동구 성내로 32 (성내동),SK에너지,02-473-1981,N,1678.0,1478.0,강동구
14,서울특별시,명일주유소,서울 강동구 고덕로 168 (명일동),SK에너지,02-3428-1739,N,1679.0,1489.0,강동구
15,서울특별시,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),GS칼텍스,02-441-3327,N,1689.0,1489.0,강동구
16,서울특별시,CJ대한통운(주)직영 천호점주유소,서울 강동구 천중로 67 (천호동),현대오일뱅크,02-473-5189,N,1697.0,1499.0,강동구
17,서울특별시,강동주유소,서울 강동구 양재대로 1509 (길동),SK에너지,02-477-5101,N,1988.0,1798.0,강동구
18,서울특별시,한이에너지(주)KLP제1주유소,서울특별시 도봉구  도봉로 596 (창동),현대오일뱅크,02-902-5189,N,1508.0,1298.0,도봉구
